Name,Link,Price,Image URL,Gender Tag,Category Tag
Nike SB Force 58,https://www.nike.com/ph/t/sb-force-58-skate-shoe-HNFTvl/CZ2959-001,"₱2,727",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/3ca0e8ff-9564-46b0-a808-072cc0e8053a/NIKE+SB+FORCE+58.png,N/A,N/A
Nike Vomero Premium,https://www.nike.com/ph/t/vomero-road-running-shoes-Z5Df7Lek/HM5973-603,"₱12,295",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/7c03634f-4e91-41cb-9e8e-b35d5c0eaf7f/W+NIKE+VOMERO+PREMIUM.png,N/A,N/A
Nike Full Force Low,https://www.nike.com/ph/t/full-force-low-shoes-6d4K53No/FZ4629-100,"₱3,777",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/06248951-0ddb-417f-b786-ee13d88d2a41/NIKE+FULL+FORCE+LO.png,N/A,N/A
"Book 1 ""Scorpion"" EP",https://www.nike.com/ph/t/book-1-scorpion-ep-basketball-shoes-EJLzmj7y/IM7616-001,"₱7,736",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/6299901e-5699-487e-8ee5-1e653b6c46d2/BOOK+1+HALLOWEEN+EP.png,N/A,N/A
Nike Calm,https://www.nike.com/ph/t/calm-slides-K7mr3W/FD4116-201,"₱1,557",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/18da855d-351f-4fc5-82bd-74fc40bd3f40/NIKE+CALM+SLIDE.png,N/A,N/A
Tatum 3 PF,https://www.nike.com/ph/t/tatum-3-pf-basketball-shoes-MIFvZCBB/HQ5041-101,"₱4,377","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/6d872d93-12b9-46c9-9151-03a38a29025b/JORDAN+TATUM+3+TB+PF.png",N/A,N/A
Nike Zoom Vomero 5,https://www.nike.com/ph/t/zoom-vomero-5-shoes-with-reflective-design-accents-TbYD7yr7/IB8929-001,"₱7,116",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/6fae04a2-a53e-4490-96d0-79421d76c14e/W+NIKE+ZOOM+VOMERO+5.png,N/A,N/A
Nike Vaporfly 4,https://www.nike.com/ph/t/vaporfly-4-road-racing-shoes-PTwDtp/HF6414-600,"₱7,312",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/aa5e57af-f852-49ea-ada9-dc0ae07eae0d/ZOOMX+VAPORFLY+NEXT%25+4.png,N/A,N/A
Jordan Hydro VI Retro,https://www.nike.com/ph/t/jordan-hydro-vi-retro-slides-rAAj3mVY/DM0979-009,"₱3,595","https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/9f493cd8-94fb-4ea5-9bc3-c10b61132f8b/JORDAN+HYDRO+VI+RETRO.png",N/A,N/A
Nike Vaporfly 4,https://www.nike.com/ph/t/vaporfly-4-road-racing-shoes-S53Lyewi/IH3586-999,"₱11,196",https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/2eab0beb-140d-4490-b3b1-57acc6415dd3/ZOOMX+VAPORFLY+NEXT%25+4+PRM.png,N/A,N/A
